2,3,4,1,2,5,1,2,3,7,4,5,2,5,7,3,5,4,5,1,2,5,3,4,4,3,6,5,3,0,0,1,3,2,1,3,2,1,0,1,1,1,3,0,2,0,1,2,1,2,0,1,1,0,1,0,0,1,1,0,8,2,5,5,5,8,4,5,5,9,8,8,6,3,7,3,11,8,6,8,4,20,6,5,6,6,8,5,8,2,6,5,4,7,7,7,8,7,8,3,9,10,5,8,4,3,10,5,9,8,5,18,9,4,2,8,10,7,5,5
1,5,3,3,2,2,3,2,4,8,5,4,4,3,6,4,6,5,5,2,3,3,4,4,4,7,7,7,1,1,1,1,1,3,1,2,2,2,1,0,3,2,3,0,1,1,2,2,4,1,3,2,0,1,0,2,1,2,1,0,7,4,6,8,7,6,5,3,7,9,6,7,4,8,8,4,7,12,8,12,7,17,4,5,8,10,10,4,10,4,3,7,4,9,8,8,5,5,9,5,7,12,7,3,8,5,10,6,10,10,5,15,7,4,4,6,6,9,10,9
4,6,2,5,0,4,4,6,6,5,6,8,3,6,5,5,4,5,5,2,7,7,5,5,4,6,7,5,3,2,1,2,2,3,4,1,3,1,2,3,3,2,0,3,2,1,4,4,3,2,2,2,3,1,2,3,3,1,1,0,6,5,6,7,5,9,4,5,7,7,8,5,7,7,8,9,5,10,8,9,5,15,7,6,6,9,7,6,4,7,4,5,3,10,5,5,5,5,4,7,8,13,5,4,8,10,11,8,6,8,6,17,7,7,6,4,5,8,8,8
6,3,3,6,1,4,7,7,5,5,3,6,3,2,4,5,3,4,5,7,4,4,7,5,7,1,6,3,2,2,1,1,3,2,2,1,3,2,1,3,3,1,1,6,3,1,4,4,3,1,1,2,2,1,4,2,2,1,2,0,8,4,4,5,7,12,4,2,7,8,9,5,7,9,5,11,10,6,10,5,7,17,12,8,6,8,6,7,3,6,5,4,6,5,7,2,4,9,6,4,9,13,9,5,3,7,7,5,6,5,11,17,3,9,6,10,5,5,8,6
4,3,5,3,4,6,4,7,3,5,8,9,4,5,2,4,4,8,4,9,5,4,5,4,4,1,5,5,1,1,3,1,2,2,1,1,1,2,3,2,5,0,3,1,1,2,3,0,1,1,1,3,1,3,1,1,0,2,3,0,8,5,6,6,4,9,4,4,8,6,7,7,8,10,6,7,11,11,9,7,9,18,11,10,9,8,5,5,7,4,5,7,5,7,9,8,12,11,8,4,6,13,6,8,4,5,7,4,6,5,9,16,3,7,5,10,4,4,6,7
2,7,9,6,7,5,9,7,6,8,10,11,8,9,5,5,3,7,5,6,5,7,8,6,4,5,11,4,2,2,2,5,3,2,4,2,4,4,3,1,5,4,5,2,4,3,1,4,3,4,1,5,4,3,2,2,4,7,6,0,12,10,9,18,5,13,14,15,14,8,14,12,13,10,8,10,10,12,13,12,13,22,10,9,10,10,13,9,14,11,7,13,7,12,13,11,13,14,12,10,11,11,7,13,9,10,15,7,10,10,12,20,12,13,7,10,10,11,9,10
12,14,18,10,17,14,15,5,22,24,20,17,16,8,9,9,16,11,10,5,9,16,15,12,17,7,15,11,8,5,11,12,10,9,14,7,13,8,9,8,8,10,9,10,14,11,11,11,12,9,14,10,15,8,10,11,9,18,21,0,23,22,20,21,13,23,22,27,24,19,22,20,25,23,21,21,20,23,22,23,25,27,19,22,22,24,21,20,23,19,18,21,18,24,23,15,25,22,19,20,23,20,22,22,24,23,22,20,19,22,19,24,25,20,20,19,25,23,16,16
20,26,26,22,22,24,23,21,27,35,24,27,30,14,23,24,27,24,17,17,20,25,14,21,23,19,23,19,20,14,22,25,18,19,15,21,17,18,18,17,18,20,23,17,19,15,25,20,20,20,20,22,24,24,20,18,24,17,25,0,31,28,31,30,20,23,30,32,29,39,28,28,24,27,34,26,30,22,28,30,35,35,28,31,22,20,34,26,30,22,22,27,25,26,28,28,27,28,29,19,24,33,32,29,28,22,23,27,27,28,29,29,28,28,27,29,28,30,35,29
19,20,24,26,22,27,24,30,25,34,22,24,35,22,29,29,26,28,21,19,21,32,24,29,26,23,28,22,24,21,25,20,24,23,19,27,19,23,20,23,21,23,23,16,21,22,26,22,22,28,19,25,16,22,21,24,20,20,18,0,19,32,29,27,16,26,25,17,23,33,24,25,23,30,27,23,30,22,18,26,26,23,30,22,23,24,27,29,26,28,18,24,20,21,30,21,26,28,28,20,25,27,25,28,28,25,18,27,22,24,33,26,25,20,22,24,23,22,28,23
20,18,24,25,31,23,35,40,26,31,26,27,27,28,28,28,26,31,33,22,22,31,28,33,31,37,28,28,24,21,27,22,23,26,24,26,19,22,22,25,22,24,23,21,24,23,18,26,27,25,24,27,21,22,19,33,19,19,23,0,22,24,28,19,21,33,30,22,30,29,28,24,29,27,33,31,30,29,26,32,28,22,24,27,26,27,26,29,26,27,21,26,23,24,31,28,31,32,29,25,28,29,27,28,31,32,27,27,29,28,32,30,26,32,27,32,25,26,24,24
15,23,28,30,28,25,34,52,24,33,33,34,29,36,27,30,30,29,33,33,28,26,34,35,29,35,35,34,24,30,27,28,19,28,28,24,29,22,27,23,28,30,25,25,30,25,29,29,32,30,28,29,28,26,28,35,24,30,33,0,34,35,33,29,29,35,38,37,39,40,44,35,41,35,35,46,36,32,40,39,36,36,40,40,33,40,38,36,36,33,33,34,39,36,32,37,38,36,33,37,34,33,38,39,40,33,33,40,34,35,35,41,36,40,36,32,36,40,35,36
