"","x"
"727",25
"728",31
"729",35
"730",35
"731",35
"732",35
"733",31
"734",35
"735",35
"736",35
"737",35
"738",30
"739",35
"740",30
"741",30
"742",35
"743",30
"744",35
"745",35
"746",35
"747",30
"748",36
"749",36
"750",36
"751",36
"752",30
"753",35
"754",43
"755",43
"756",53
"757",36
"758",36
"759",43
"760",43
"761",36
"762",36
"763",36
"764",36
"765",36
"766",30
"767",56
"768",53
"769",53
"770",53
"771",53
"772",53
"773",53
"774",43
"775",56
"776",56
"777",53
"778",56
"779",56
"780",56
"781",56
"782",56
"783",56
"784",56
"785",56
"786",54
"787",56
"788",54
"789",69
"790",56
"791",56
"792",56
"793",56
"794",54
"795",54
"796",54
"797",54
"798",54
"799",69
"800",69
"801",64
"802",69
"803",69
"804",64
"805",64
"806",69
"807",69
"808",64
"809",69
"810",64
"811",64
"812",69
"813",69
"814",69
"815",69
"816",69
"817",64
"818",64
"819",64
"820",64
"821",69
"822",69
"823",69
"824",69
"825",64
"826",48
"827",64
"828",64
"829",64
"830",64
"831",64
"832",64
"833",64
"834",64
"835",64
"836",48
"837",48
"838",48
"839",48
"840",64
"841",48
"842",48
"843",64
"844",48
"845",64
"846",42
"847",48
"848",48
"849",42
"850",48
"851",48
"852",64
"853",64
"854",48
"855",48
"856",64
"857",48
"858",48
"859",48
"860",48
"861",42
"862",48
"863",48
"864",48
"865",48
"866",48
"867",48
"868",48
"869",42
"870",48
"871",48
"872",48
"873",48
"874",42
"875",48
"876",48
"877",48
"878",48
"879",48
"880",42
"881",42
"882",48
"883",42
"884",48
"885",42
"886",48
"887",48
"888",48
"889",42
"890",48
"891",42
"892",38
"893",42
"894",42
"895",48
"896",42
"897",42
"898",48
"899",42
"900",48
"901",48
"902",38
"903",38
"904",42
"905",38
"906",38
"907",42
"908",42
"909",42
"910",42
"911",38
"912",42
"913",38
"914",33
"915",38
"916",38
"917",33
"918",38
"919",38
"920",38
"921",42
"922",42
"923",33
"924",33
"925",33
"926",33
"927",38
"928",33
"929",33
"930",33
"931",38
"932",38
"933",38
"934",33
"935",29
"936",29
"937",21
"938",21
"939",29
"940",29
"941",29
"942",29
"943",31
"944",31
"945",31
"946",31
"947",31
"948",31
"949",29
"950",29
"951",31
"952",29
"953",29
"954",31
"955",31
"956",31
"957",29
"958",29
"959",31
"960",31
"961",31
"962",29
"963",29
"964",29
"965",31
"966",29
"967",29
"968",29
"969",29
"970",29
"971",29
"972",29
"973",29
"974",29
"975",29
"976",29
"977",29
"978",29
"979",29
"980",29
"981",29
"982",29
"983",29
"984",29
"985",36
"986",29
"987",29
"988",36
"989",34
"990",36
"991",29
"992",29
"993",36
"994",34
"995",36
"996",34
"997",34
"998",29
"999",36
"1000",36
"1001",32
"1002",32
"1003",34
"1004",36
"1005",34
"1006",32
"1007",32
"1008",29
"1009",34
"1010",29
"1011",29
"1012",34
"1013",29
"1014",29
"1015",34
"1016",29
"1017",34
"1018",32
"1019",32
"1020",32
"1021",34
"1022",29
"1023",32
"1024",32
"1025",32
"1026",32
"1027",32
"1028",25
"1029",29
"1030",29
"1031",29
"1032",29
"1033",29
"1034",25
"1035",25
"1036",26
"1037",25
"1038",25
"1039",29
"1040",29
"1041",25
"1042",26
"1043",26
"1044",21
"1045",26
"1046",26
"1047",26
"1048",21
"1049",25
"1050",26
"1051",40
"1052",40
"1053",40
"1054",44
"1055",40
"1056",40
"1057",40
"1058",44
"1059",44
"1060",44
"1061",44
"1062",44
"1063",40
"1064",40
"1065",40
"1066",40
"1067",40
"1068",40
"1069",40
"1070",40
"1071",40
"1072",40
"1073",40
"1074",40
"1075",40
"1076",40
"1077",40
"1078",40
"1079",40
"1080",40
"1081",40
"1082",40
"1083",40
"1084",40
"1085",40
"1086",40
"1087",38
"1088",40
"1089",40
"1090",40
"1091",40
"1092",40
"1093",40
"1094",40
"1095",40
"1096",40
"1097",40
"1098",38
"1099",38
"1100",34
"1101",38
"1102",38
"1103",40
"1104",38
"1105",38
"1106",38
"1107",34
"1108",38
"1109",38
"1110",34
"1111",38
"1112",38
"1113",38
"1114",38
"1115",38
"1116",34
"1117",34
"1118",34
"1119",34
"1120",29
"1121",34
"1122",34
"1123",34
"1124",34
"1125",34
"1126",34
"1127",38
"1128",34
"1129",34
"1130",34
"1131",20
"1132",29
"1133",29
"1134",29
"1135",29
"1136",29
"1137",29
"1138",29
"1139",29
"1140",29
"1141",29
"1142",20
"1143",20
"1144",20
"1145",29
"1146",20
"1147",29
"1148",29
"1149",29
"1150",29
"1151",20
"1152",29
"1153",29
"1154",29
"1155",20
"1156",18
"1157",18
"1158",18
"1159",18
"1160",18
"1161",18
"1162",18
"1163",20
"1164",20
"1165",18
"1166",20
"1167",9
"1168",9
"1169",11
"1170",11
"1171",10
"1172",10
"1173",10
"1174",8
"1175",10
"1176",10
"1177",38
"1178",38
"1179",36
"1180",38
"1181",38
"1182",38
"1183",38
"1184",38
"1185",36
"1186",38
"1187",38
"1188",38
"1189",38
"1190",38
"1191",38
"1192",38
"1193",38
"1194",38
"1195",38
"1196",38
"1197",42
"1198",47
"1199",42
"1200",42
"1201",38
"1202",38
"1203",42
"1204",38
"1205",38
"1206",38
"1207",38
"1208",38
"1209",47
"1210",42
"1211",42
"1212",47
"1213",42
"1214",42
"1215",42
"1216",42
"1217",47
"1218",42
"1219",47
"1220",47
"1221",47
"1222",47
"1223",47
"1224",47
"1225",47
"1226",47
"1227",47
"1228",47
"1229",47
"1230",47
"1231",42
"1232",47
"1233",47
"1234",47
"1235",47
"1236",47
"1237",42
"1238",42
"1239",42
"1240",47
"1241",47
"1242",34
"1243",42
"1244",42
"1245",42
"1246",42
"1247",42
"1248",42
"1249",42
"1250",42
"1251",42
"1252",42
"1253",42
"1254",34
"1255",38
"1256",34
"1257",42
"1258",42
"1259",34
"1260",42
"1261",42
"1262",34
"1263",42
"1264",42
"1265",34
"1266",42
"1267",38
"1268",34
"1269",38
"1270",34
"1271",34
"1272",38
"1273",42
"1274",34
"1275",34
"1276",38
"1277",38
"1278",38
"1279",38
"1280",38
"1281",38
"1282",38
"1283",38
"1284",36
"1285",38
"1286",38
"1287",34
"1288",38
"1289",38
"1290",36
"1291",36
"1292",36
"1293",36
"1294",36
"1295",36
"1296",36
"1297",36
"1298",36
"1299",36
"1300",36
"1301",36
"1302",31
"1303",31
"1304",31
"1305",31
"1306",36
"1307",36
"1308",36
"1309",36
"1310",36
"1311",31
"1312",36
"1313",31
"1314",24
"1315",24
"1316",24
"1317",24
"1318",24
"1319",31
"1320",31
"1321",31
"1322",31
"1323",24
"1324",31
"1325",24
"1326",9
"1327",12
"1328",24
"1329",24
"1330",24
"1331",24
"1332",24
"1333",24
"1334",24
"1335",24
"1336",12
"1337",12
"1338",9
"1339",12
"1340",12
"1341",11
"1342",10
"1343",11
"1344",11
"1345",14
"1346",13
"1347",13
"1348",13
"1349",13
"1350",10
"1351",33
"1352",33
"1353",34
"1354",34
"1355",34
"1356",44
"1357",34
"1358",33
"1359",33
"1360",44
"1361",54
"1362",34
"1363",54
"1364",54
"1365",34
"1366",34
"1367",54
"1368",54
"1369",44
"1370",44
"1371",44
"1372",44
"1373",44
"1374",54
"1375",54
"1376",54
"1377",54
"1378",54
"1379",54
"1380",44
"1381",54
"1382",44
"1383",44
"1384",54
"1385",50
"1386",50
"1387",50
"1388",54
"1389",54
"1390",54
"1391",50
"1392",53
"1393",54
"1394",50
"1395",54
"1396",50
"1397",50
"1398",50
"1399",50
"1400",50
"1401",50
"1402",54
"1403",50
"1404",50
"1405",50
"1406",50
"1407",54
"1408",53
"1409",50
"1410",50
"1411",53
"1412",50
"1413",53
"1414",53
"1415",50
"1416",53
"1417",50
"1418",50
"1419",53
"1420",53
"1421",53
"1422",53
"1423",53
"1424",53
"1425",53
"1426",53
"1427",50
"1428",50
"1429",53
"1430",53
"1431",51
"1432",51
"1433",51
"1434",51
"1435",53
"1436",53
"1437",51
"1438",53
"1439",53
"1440",51
"1441",51
"1442",53
"1443",53
"1444",51
"1445",53
"1446",53
"1447",51
"1448",51
"1449",51
"1450",49
"1451",53
"1452",51
"1453",51
"1454",51
"1455",51
"1456",53
"1457",53
"1458",53
"1459",53
"1460",53
"1461",53
"1462",53
"1463",51
"1464",53
"1465",53
"1466",53
"1467",53
"1468",49
"1469",49
"1470",49
"1471",49
"1472",53
"1473",53
"1474",53
"1475",49
"1476",53
"1477",51
"1478",49
"1479",53
"1480",53
"1481",49
"1482",49
"1483",49
"1484",49
"1485",49
"1486",49
"1487",49
"1488",49
"1489",49
"1490",49
"1491",49
"1492",34
"1493",34
"1494",49
"1495",49
"1496",49
"1497",49
"1498",34
"1499",49
"1500",49
"1501",49
"1502",49
"1503",49
"1504",49
"1505",34
"1506",34
"1507",34
"1508",34
"1509",34
"1510",34
"1511",34
"1512",34
"1513",49
"1514",34
"1515",28
"1516",28
"1517",28
"1518",28
"1519",28
"1520",28
"1521",28
"1522",28
"1523",34
"1524",34
"1525",29
"1526",29
"1527",29
"1528",29
"1529",29
"1530",28
"1531",28
"1532",28
"1533",28
"1534",28
"1535",28
"1536",28
"1537",28
"1538",28
"1539",29
"1540",28
"1541",28
"1542",29
"1543",29
"1544",28
"1545",29
"1546",29
"1547",28
"1548",16
"1549",16
"1550",16
"1551",28
"1552",28
"1553",28
"1554",28
"1555",28
"1556",28
"1557",28
"1558",16
"1559",12
"1560",12
"1561",13
"1562",12
"1563",11
"1564",16
"1565",16
"1566",11
"1567",12
"1568",11
"1569",11
"1570",12
"1571",12
"1572",12
"1573",12
"1574",12
"1575",12
"1576",12
"1577",16
"1578",13
"1579",13
"1580",13
"1581",16
"1582",12
"1583",13
"1584",13
"1585",13
"1586",13
"1587",13
"1588",15
"1589",12
"1590",12
"1591",15
"1592",10
"1593",9
"1594",7
"1595",9
"1596",9
"1597",4
"1598",5
"1599",14
"1600",14
"1601",11
"1602",13
"1603",13
"1604",13
"1605",13
"1606",17
"1607",17
"1608",21
"1609",27
"1610",27
"1611",21
"1612",21
"1613",17
"1614",27
"1615",29
"1616",27
"1617",29
"1618",27
"1619",27
"1620",21
"1621",27
"1622",21
"1623",29
"1624",29
"1625",27
"1626",21
"1627",29
"1628",29
"1629",29
"1630",29
"1631",29
"1632",21
"1633",29
"1634",21
"1635",29
"1636",29
"1637",29
"1638",21
"1639",26
"1640",26
"1641",21
"1642",26
"1643",21
"1644",27
"1645",27
"1646",27
"1647",27
"1648",27
"1649",26
"1650",26
"1651",21
"1652",26
"1653",27
"1654",27
"1655",27
"1656",27
"1657",27
"1658",27
"1659",27
"1660",22
"1661",22
"1662",22
"1663",22
"1664",27
"1665",27
"1666",22
"1667",20
"1668",20
"1669",20
"1670",20
"1671",20
"1672",22
"1673",23
"1674",20
"1675",23
"1676",23
"1677",23
"1678",27
"1679",23
"1680",23
"1681",27
"1682",23
"1683",23
"1684",27
"1685",32
"1686",27
"1687",27
"1688",27
"1689",27
"1690",27
"1691",27
"1692",32
"1693",32
"1694",41
"1695",27
"1696",27
"1697",32
"1698",32
"1699",41
"1700",32
"1701",41
"1702",41
"1703",41
"1704",41
