"dep_count_per15","arr_count_per15","pb_count_per15","heavy_dep_per15","heavy_arr_per15","dep_demand_per15","dep_taxi_per_window"
14,11,13,4,2,32,18
14,10,5,2,5,24,16.8
9,15,6,2,2,16,15.8333333333333
4,15,6,0,3,12,17.8333333333333
10,8,13,1,2,21,12.1428571428571
12,4,2,5,0,13,8
3,13,7,0,6,8,8
9,14,11,2,4,16,13
5,14,3,0,4,10,30.3333333333333
3,14,2,1,4,7,28.5
3,17,1,0,4,5,14.5
1,17,6,0,6,8,14.8
7,14,4,2,6,11,6.75
6,9,3,2,3,7,6.33333333333333
1,15,0,0,5,1,0
1,14,2,1,2,2,11
2,14,1,1,2,2,9
1,12,2,0,4,2,11
1,6,2,0,2,3,7.5
2,0,1,2,0,3,13
2,3,2,0,0,3,13.5
1,4,3,1,1,4,12
3,3,1,3,1,4,5
3,2,3,3,0,4,7.5
2,0,1,2,0,2,0
0,1,0,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,0,0,0
0,2,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,1,0,0,1,11
1,1,0,1,1,1,0
0,1,1,0,0,1,11
1,0,0,0,0,1,0
0,2,0,0,2,0,0
0,1,0,0,1,0,0
0,0,0,0,0,0,0
0,1,0,0,1,0,0
0,4,0,0,4,0,0
0,1,3,0,1,3,9
8,2,12,0,2,15,9.78571428571429
14,1,14,2,1,21,8.28571428571429
11,2,13,3,1,20,10.1428571428571
18,1,20,4,1,29,10.85
18,0,17,5,0,28,9.57894736842105
18,1,22,2,0,32,11
21,2,23,7,1,37,12.2272727272727
18,0,16,6,0,32,10.0666666666667
16,3,17,6,0,31,12.4210526315789
18,5,23,9,1,38,15.1818181818182
18,2,17,6,0,37,14.8823529411765
20,6,9,6,1,28,10.5
13,9,10,6,4,19,10.875
6,12,7,2,3,13,12
9,11,8,1,0,14,10
6,14,7,3,1,12,24.375
5,18,7,1,7,13,15
7,12,12,0,3,20,16.9230769230769
12,12,15,3,1,28,15
15,10,10,3,2,26,13.5555555555556
12,10,13,3,3,24,14.9230769230769
13,9,9,2,3,21,9.77777777777778
14,10,10,4,4,18,7.1
9,11,12,2,3,16,8.07692307692308
11,12,11,3,3,18,10.3846153846154
11,13,13,3,6,20,11.2
10,9,8,2,2,17,11.375
10,8,12,4,2,19,10.75
10,11,15,3,3,24,15.1764705882353
13,12,18,3,6,33,24.7647058823529
11,12,9,3,4,29,22
10,10,7,6,5,24,16.8571428571429
14,11,9,8,5,23,12.4444444444444
12,10,7,1,5,17,9.375
8,11,10,3,2,15,12.7777777777778
5,14,10,4,5,17,21.6363636363636
9,14,13,3,6,24,19.8333333333333
10,14,10,5,5,25,20.1818181818182
