"dep_count_per15","arr_count_per15","pb_count_per15","heavy_dep_per15","heavy_arr_per15","dep_demand_per15"
8,10,15,2,2,25
16,7,9,4,1,26
10,8,9,3,5,20
8,14,6,2,4,15
12,10,10,2,5,17
8,8,10,1,1,15
12,8,10,6,2,17
10,9,15,3,2,20
15,8,15,4,3,25
11,12,12,6,0,22
12,9,13,7,2,25
9,8,5,4,3,18
12,10,11,3,3,19
7,12,9,1,3,16
9,12,8,3,2,17
11,10,15,5,5,24
11,10,7,3,4,20
6,14,11,2,6,20
10,13,8,2,6,22
13,12,8,2,4,19
6,14,7,0,5,13
8,10,11,3,3,18
8,13,10,2,1,20
7,9,11,1,2,24
9,10,12,4,3,29
11,14,8,1,6,28
10,14,6,4,2,23
11,13,7,4,5,20
8,9,10,3,3,18
7,12,12,2,3,22
10,13,12,3,2,27
16,7,8,2,1,25
6,9,6,0,2,15
8,10,5,3,2,14
12,10,15,4,3,21
11,9,13,2,2,22
10,13,5,2,3,18
7,9,7,2,0,15
8,11,9,0,3,15
8,11,10,2,4,17
9,5,4,1,1,13
6,9,7,1,1,11
7,11,7,1,3,12
5,15,2,1,3,7
2,11,1,0,3,4
1,9,1,1,6,2
2,13,3,0,4,4
3,6,2,1,1,4
2,10,1,1,2,2
0,10,0,0,1,0
0,12,1,0,4,1
1,11,1,1,2,2
2,9,2,2,4,3
2,8,1,2,3,2
0,4,1,0,2,1
2,2,3,1,1,4
3,1,3,2,0,5
3,2,2,2,0,4
1,2,0,1,1,1
