"X","航班号","起飞机场","目的机场","rwy","ramp","pb_time","s_dep_time","a_dep_time","所走航路","mission_full_date","time_pushback","time_takeoff_real","dep_taxi","mission_month","mission_date","dep_may_15_per_dep","arr_may_15_per_dep","dep_may_60_per_dep","arr_may_60_per_dep","pb_may_15_per_dep","pb_may_60_per_dep"
87086,"CCA101","ZBAA","VHHH","36L",10,806,805,827,"REN8AL",20140518,486,507,21,5,18,19,5,75,11,18,64
87087,"CHH7389","ZBAA","ZLYA","36L",23,808,810,826,"SOS8AL",20140518,488,506,18,5,18,19,5,75,11,18,64
87088,"CCA1131","ZBAA","ZBLA","1",3,813,815,826,"YV8C",20140518,493,506,13,5,18,19,5,75,11,18,64
87089,"CSC8896","ZBAA","ZUUU","36R",3,816,820,829,"SOS8BR",20140518,496,509,13,5,18,19,5,75,11,18,64
87090,"JAL860","ZBAA","RJAA","1",11,819,825,833,"LAD8E",20140518,499,513,14,5,18,18,2,75,11,15,64
87091,"CCA129","ZBAA","RKPK","1",7,821,825,831,"LAD8E",20140518,501,511,10,5,18,18,2,75,11,15,64
87092,"CSN3194","ZBAA","ZGSZ","36L",21,805,810,829,"REN8AL",20140518,485,509,24,5,18,19,5,75,11,18,64
87093,"CSN3754","ZBAA","ZGHA","36L",15,816,810,831,"REN8AL",20140518,496,511,15,5,18,18,2,75,11,15,64
87094,"CHH7115","ZBAA","ZBMZ","36R",18,821,810,831,"YV8AR",20140518,501,511,10,5,18,18,2,75,11,15,64
87095,"CCD1809","ZBAA","ZSAM","1",2,812,815,824,"LAD8E",20140518,492,504,12,5,18,19,5,75,11,18,64
87096,"CES2883","ZBAA","ZBTL","36R",22,750,755,815,"YV8AR",20140518,470,495,25,5,18,19,5,75,11,18,64
87097,"CSZ9889","ZBAA","ZGSZ","36L",3,755,800,814,"REN8AL",20140518,475,494,19,5,18,22,1,75,11,18,64
87098,"CES2802","ZBAA","ZSNJ","36R",18,748,740,813,"LAD8AR",20140518,468,493,25,5,18,22,1,75,11,18,64
87099,"LKE9940","ZBAA","ZPPP","36L",29,758,750,813,"SOS8AL",20140518,478,493,15,5,18,22,1,75,11,18,64
87100,"CCA1405","ZBAA","ZUUU","36R",1,800,800,820,"SOS8BR",20140518,480,500,20,5,18,19,5,75,11,18,64
87101,"CES2255","ZBAA","ZBLL","36L",22,802,810,817,"REN8AL",20140518,482,497,15,5,18,19,5,75,11,18,64
87102,"CSN3256","ZBAA","ZSGZ","36R",17,804,755,818,"LAD8AR",20140518,484,498,14,5,18,19,5,75,11,18,64
87103,"CES2102","ZBAA","ZLXY","36L",18,807,805,819,"SOS8AL",20140518,487,499,12,5,18,19,5,75,11,18,64
87104,"CES2731","ZBAA","ZSWX","36R",18,804,805,822,"LAD8AR",20140518,484,502,18,5,18,19,5,75,11,18,64
87105,"CES2460","ZBAA","ZHHH","36L",22,816,820,823,"REN8AL",20140518,496,503,7,5,18,19,5,75,11,18,64
87106,"CES2467","ZBAA","ZYHB","36R",22,808,810,824,"YV8AR",20140518,488,504,16,5,18,19,5,75,11,18,64
87107,"CCA1459","ZBAA","ZUYB","36R",10,753,755,816,"SOS8BR",20140518,473,496,23,5,18,19,5,75,11,18,64
87108,"CES2035","ZBAA","ZPPP","36L",18,758,755,807,"SOS8AL",20140518,478,487,9,5,18,22,1,75,11,18,64
