"","X.1","X","航班号","起飞机场","目的机场","rwy","ramp","pb_time","s_dep_time","a_dep_time","mission_full_date","time_pushback","time_takeoff_real","dep_taxi","mission_month","mission_date","dep_window_per15","dep_window_per60","dep_36r_in_cluster","dep_36r_per_dep","arr_36r_per_dep"
"237",237,237,"CCA1431","ZBAA","ZUCK","36R","323",836,830,843,20140225,516,523,"7",2,25,2339,585,1,32,0
"238",238,238,"CCA182W","ZBAA","ZHYC","36R","328",831,830,841,20140225,511,521,"10",2,25,2339,585,1,32,0
"241",241,241,"CBJ520","ZBAA","ZSNJ","36R","N106A",820,650,847,20140225,500,527,"27",2,25,2340,585,1,32,0
"244",244,244,"CCA1361","ZBAA","ZJHK","36R","410",831,825,848,20140225,511,528,"17",2,25,2340,585,1,32,0
"246",246,246,"CCA1113","ZBAA","ZBUH","36R","333",826,720,831,20140225,506,511,"5",2,25,2339,585,1,32,0
"249",249,249,"CSZ9889","ZBAA","ZGSZ","36R","325",818,810,829,20140225,498,509,"11",2,25,2338,585,1,32,0
"250",250,250,"CHH7771","ZBAA","ZSAM","36R","115",808,745,833,20140225,488,513,"25",2,25,2339,585,1,32,0
"252",252,252,"CCA905","ZBAA","ZPPP","36R","354",824,805,835,20140225,504,515,"11",2,25,2339,585,1,32,0
"256",256,256,"CES2862","ZBAA","ZSNJ","36R","804",810,810,837,20140225,490,517,"27",2,25,2339,585,1,32,0
"258",258,258,"CES2785","ZBAA","ZYTX","36R","805",804,805,820,20140225,484,500,"16",2,25,2338,585,1,32,0
"259",259,259,"CSN6657","ZBAA","ZYHB","36R","238",804,725,824,20140225,484,504,"20",2,25,2338,585,1,32,0
"261",261,261,"CSC8896","ZBAA","ZUUU","36R","319",803,800,822,20140225,483,502,"19",2,25,2338,585,1,32,0
"265",265,265,"CHH7103","ZBAA","ZYMD","36R","105",807,800,826,20140225,487,506,"19",2,25,2338,585,1,32,0
"266",266,266,"CCA101","ZBAA","VHHH","36R","503",808,800,825,20140225,488,505,"17",2,25,2338,585,1,32,0
"267",267,267,"CCA1469","ZBAA","ZPLJ","36R","414",818,820,828,20140225,498,508,"10",2,25,2338,585,1,32,0
"271",271,271,"CCA1369","ZBAA","ZJSY","36R","335",757,745,809,20140225,477,489,"12",2,25,2337,585,1,32,0
"272",272,272,"CSN3256","ZBAA","ZSGZ","36R","701",758,755,812,20140225,478,492,"14",2,25,2337,585,1,32,0
"276",276,276,"CCA1231","ZBAA","ZLXY","36R","352",800,750,813,20140225,480,493,"13",2,25,2337,585,1,32,0
"278",278,278,"CES5102","ZBAA","ZSSS","36R","708",806,800,815,20140225,486,495,"9",2,25,2338,585,1,32,0
"279",279,279,"CCA1133","ZBAA","ZBYC","36R","534",758,730,817,20140225,478,497,"19",2,25,2338,585,1,32,0
"280",280,280,"CCA1405","ZBAA","ZUUU","36R","337",805,800,818,20140225,485,498,"13",2,25,2338,585,1,32,0
"281",281,281,"CCA1877","ZBAA","ZGZJ","36R","453",754,745,803,20140225,474,483,"9",2,25,2337,585,1,32,0
"284",284,284,"CCA1459","ZBAA","ZUYB","36R","524",749,745,802,20140225,469,482,"13",2,25,2337,585,1,32,0
"285",285,285,"CHH7298","ZBAA","ZSNB","36R","110",752,735,805,20140225,472,485,"13",2,25,2337,585,1,32,0
"287",287,287,"CSN6116","ZBAA","ZYTX","36R","240",753,745,807,20140225,473,487,"14",2,25,2337,585,1,32,0
"288",288,288,"CCA1461","ZBAA","ZUGY","36R","359",753,750,808,20140225,473,488,"15",2,25,2337,585,1,32,0
"294",294,294,"CES2091","ZBAA","ZSCN","36R","228",745,740,756,20140225,465,476,"11",2,25,2336,584,0,10,0
"295",295,295,"CSN3684","ZBAA","ZYBS","36R","711",748,745,755,20140225,468,475,"7",2,25,2336,584,0,10,0
"297",297,297,"CXA8132","ZBAA","ZSQZ","36R","603",750,730,800,20140225,470,480,"10",2,25,2337,585,1,32,0
"301",301,301,"CCA4125","ZBAA","ZULS","36R","331",751,750,759,20140225,471,479,"8",2,25,2336,584,0,10,0
"302",302,302,"CCA1147","ZBAA","ZBYZ","36R","305",745,750,757,20140225,465,477,"12",2,25,2336,584,0,10,0
"306",306,306,"CCA1267","ZBAA","ZWHM","36R","358",731,730,747,20140225,451,467,"16",2,25,2336,584,0,10,0
"308",308,308,"CSC8548","ZBAA","ZUUU","36R","320",725,725,749,20140225,445,469,"24",2,25,2336,584,0,10,0
"309",309,309,"CSH9158","ZBAA","ZSHC","36R","814",728,720,745,20140225,448,465,"17",2,25,2336,584,0,10,0
"311",311,311,"CXA8103","ZBAA","ZSAM","36R","605",743,725,750,20140225,463,470,"7",2,25,2336,584,0,10,0
"312",312,312,"CCA1385","ZBAA","ZHXF","36R","462",730,725,751,20140225,450,471,"21",2,25,2336,584,0,10,0
"314",314,314,"UAE309","ZBAA","OMDB","36R","508",737,650,753,20140225,457,473,"16",2,25,2336,584,0,10,0
"339",339,339,"CSN6267","ZBAA","ZYHB","36R","227",909,855,936,20140224,549,576,"27",2,24,2247,562,1,27,2
