"","arr_window","arr_date","arr_hour"
"108",34,"02",10
"109",34,"02",10
"110",34,"02",10
"111",34,"02",10
"112",34,"02",10
"113",34,"02",10
"114",34,"02",10
"115",34,"02",10
"116",34,"02",10
"117",34,"02",10
"118",34,"02",10
"119",34,"02",10
"120",34,"02",10
"121",34,"02",10
"122",34,"02",10
"123",34,"02",10
"124",34,"02",10
"125",33,"02",9
"126",33,"02",9
"127",33,"02",9
"128",33,"02",9
"129",33,"02",9
"130",33,"02",9
"131",33,"02",9
"132",33,"02",9
"133",33,"02",9
"134",33,"02",9
"135",33,"02",9
"136",33,"02",9
"137",32,"02",8
"138",32,"02",8
"139",32,"02",8
"140",32,"02",8
"141",32,"02",8
"142",32,"02",8
"143",32,"02",8
"144",32,"02",8
"145",34,"02",10
"146",34,"02",10
"147",34,"02",10
"148",34,"02",10
"149",34,"02",10
"150",34,"02",10
"151",34,"02",10
"152",34,"02",10
"153",34,"02",10
"154",34,"02",10
"155",34,"02",10
"156",34,"02",10
"157",34,"02",10
"158",34,"02",10
"159",34,"02",10
"160",34,"02",10
"161",34,"02",10
"162",33,"02",9
"163",34,"02",10
"164",34,"02",10
"165",33,"02",9
"166",33,"02",9
"167",33,"02",9
"168",33,"02",9
"169",33,"02",9
"170",33,"02",9
"171",33,"02",9
"172",33,"02",9
"173",33,"02",9
"174",33,"02",9
"175",33,"02",9
"176",33,"02",9
"177",32,"02",8
"178",32,"02",8
"179",32,"02",8
"180",32,"02",8
"181",34,"02",10
"182",34,"02",10
"183",34,"02",10
"184",34,"02",10
"185",34,"02",10
"186",34,"02",10
"187",34,"02",10
"188",34,"02",10
"189",34,"02",10
"190",34,"02",10
"191",34,"02",10
"192",34,"02",10
"193",34,"02",10
"194",34,"02",10
"195",34,"02",10
"196",34,"02",10
"197",34,"02",10
"198",34,"02",10
"199",34,"02",10
"200",34,"02",10
"201",34,"02",10
"202",34,"02",10
"203",34,"02",10
"204",34,"02",10
"205",34,"02",10
"206",34,"02",10
"207",34,"02",10
"208",34,"02",10
"209",34,"02",10
"210",34,"02",10
"211",34,"02",10
"212",33,"02",9
"213",33,"02",9
"214",33,"02",9
"215",33,"02",9
"216",33,"02",9
"217",33,"02",9
"218",33,"02",9
"219",39,"02",15
"220",39,"02",15
"221",39,"02",15
"222",39,"02",15
"223",40,"02",16
"224",39,"02",15
"225",39,"02",15
"226",39,"02",15
"227",39,"02",15
"228",39,"02",15
"229",39,"02",15
"230",39,"02",15
"231",39,"02",15
"232",39,"02",15
"233",39,"02",15
"234",39,"02",15
"235",39,"02",15
"236",39,"02",15
"237",39,"02",15
"238",39,"02",15
"239",39,"02",15
"240",39,"02",15
"241",39,"02",15
"242",39,"02",15
"243",39,"02",15
"244",39,"02",15
"245",39,"02",15
"246",39,"02",15
"247",39,"02",15
"248",39,"02",15
"249",39,"02",15
"250",39,"02",15
"251",39,"02",15
"252",39,"02",15
"253",39,"02",15
"254",39,"02",15
"255",39,"02",15
"256",38,"02",14
"257",39,"02",15
"258",38,"02",14
"259",39,"02",15
"260",39,"02",15
"261",39,"02",15
"262",39,"02",15
"263",39,"02",15
"264",38,"02",14
"265",38,"02",14
"266",38,"02",14
"267",38,"02",14
"268",38,"02",14
"269",38,"02",14
"270",38,"02",14
"271",38,"02",14
"272",38,"02",14
"273",38,"02",14
"274",38,"02",14
"275",38,"02",14
"276",38,"02",14
"277",38,"02",14
"278",38,"02",14
"279",38,"02",14
"280",38,"02",14
"281",38,"02",14
"282",38,"02",14
"283",38,"02",14
"284",38,"02",14
"285",38,"02",14
"286",38,"02",14
"287",38,"02",14
"288",38,"02",14
"289",38,"02",14
"290",38,"02",14
"291",38,"02",14
"292",38,"02",14
"293",38,"02",14
"294",38,"02",14
"295",38,"02",14
"296",38,"02",14
"297",38,"02",14
"298",38,"02",14
"299",38,"02",14
"300",38,"02",14
"301",38,"02",14
"302",38,"02",14
"303",37,"02",13
"304",37,"02",13
"305",37,"02",13
"306",37,"02",13
"307",37,"02",13
"308",37,"02",13
"309",38,"02",14
"310",37,"02",13
"311",37,"02",13
"312",37,"02",13
"313",37,"02",13
"314",37,"02",13
"315",37,"02",13
"316",37,"02",13
"317",37,"02",13
"318",37,"02",13
