"dep36l","dep36r","dep01","arr36l","arr36r","arr01"
12,26,13,16,5,22
4,20,12,21,10,24
12,22,10,19,9,17
16,24,11,20,4,19
10,20,2,19,8,23
7,15,4,19,14,22
1,7,7,26,17,12
2,2,6,20,18,0
5,4,0,9,3,0
6,0,0,2,0,0
4,0,0,4,0,0
3,0,0,9,0,0
6,0,0,9,0,0
7,8,7,7,0,2
17,29,16,3,0,3
23,26,20,5,0,9
17,21,16,15,4,15
3,18,9,18,12,19
11,23,11,21,9,22
10,27,17,21,6,18
15,15,15,17,12,15
6,24,18,10,9,15
6,8,4,11,6,14
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
4,6,4,1,0,1
14,20,16,22,13,20
9,13,14,20,19,23
1,7,10,17,17,7
1,8,0,23,25,0
3,7,0,8,10,0
5,0,0,4,0,0
6,0,0,5,0,0
3,0,0,12,0,0
3,0,0,10,0,0
7,6,4,6,3,1
12,36,18,3,0,4
15,23,16,4,1,10
16,21,14,16,0,16
5,27,10,16,3,21
9,21,9,16,7,18
9,24,11,11,6,18
9,17,10,16,9,19
9,18,13,18,14,21
11,17,10,16,14,23
7,27,15,21,9,20
9,25,16,15,8,20
9,16,13,18,13,16
8,18,9,16,12,15
9,28,15,17,8,19
14,21,3,12,9,15
2,7,4,16,15,16
0,1,6,19,19,5
0,2,3,20,22,0
8,2,0,11,0,0
9,0,0,0,0,0
6,0,0,4,0,0
0,0,1,5,0,0
4,0,0,10,0,0
12,5,4,6,0,1
16,27,15,3,0,2
29,30,21,1,0,7
12,20,14,13,8,19
8,23,3,21,9,21
8,18,14,18,10,21
12,21,13,19,5,20
1,3,1,2,3,3
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
6,7,6,5,3,6
12,25,12,24,9,22
17,23,10,18,8,20
5,17,7,21,14,23
0,1,5,24,23,10
1,2,1,18,22,0
1,8,0,5,1,0
4,3,0,2,0,0
4,0,0,6,0,0
2,0,0,5,0,0
2,0,0,9,0,0
9,8,6,6,0,1
20,32,13,2,0,4
23,29,22,7,0,7
13,24,13,16,5,18
8,16,5,15,13,23
10,29,15,22,4,22
9,28,12,19,3,21
13,23,11,22,0,21
5,29,9,19,1,26
10,25,7,25,0,27
7,30,7,25,0,26
9,25,10,20,1,22
9,24,15,18,7,20
6,23,8,21,8,21
11,26,11,17,8,23
14,23,12,15,6,17
3,14,3,23,9,23
0,3,6,22,19,10
1,4,3,17,18,0
5,2,0,6,0,0
8,0,0,1,0,0
3,0,0,2,0,0
1,0,0,11,0,0
4,0,0,9,0,0
8,10,5,6,1,0
17,31,10,3,0,4
26,29,18,4,0,9
12,27,14,19,0,20
7,24,6,25,1,25
11,25,8,18,1,25
11,17,13,14,5,19
11,22,14,12,11,16
4,16,17,20,14,18
12,17,11,18,16,22
5,22,17,20,8,19
7,29,14,12,7,16
9,28,10,21,1,23
9,23,9,19,1,21
7,18,11,20,5,19
13,23,3,15,8,20
5,15,5,17,16,21
1,2,5,21,21,7
2,0,5,19,23,0
3,6,0,3,8,0
1,3,0,1,3,0
1,6,0,3,2,0
2,2,0,2,4,0
0,1,0,1,5,0
4,10,7,0,10,0
15,28,14,1,3,0
22,34,16,5,0,9
14,24,22,17,6,10
6,14,7,16,14,18
9,22,14,17,8,21
13,22,13,17,9,20
15,22,14,11,8,16
8,22,15,16,6,20
11,17,7,16,14,21
5,23,17,18,13,22
6,20,14,22,10,20
11,21,19,14,12,18
9,31,12,21,4,19
12,19,14,13,14,13
12,18,6,13,12,19
3,1,17,20,21,17
0,0,9,22,23,8
2,3,5,23,20,0
5,1,0,11,3,0
6,0,0,1,0,0
2,0,0,5,0,0
2,0,0,7,0,0
4,0,1,7,0,0
6,8,5,10,0,1
15,29,14,3,0,1
21,31,17,4,0,10
15,24,13,17,5,15
6,24,6,18,7,23
10,30,10,22,4,22
11,30,14,18,2,20
10,27,10,21,1,22
6,28,11,17,1,21
6,19,8,23,8,23
9,18,11,19,13,24
10,26,19,14,7,17
7,15,12,16,12,21
11,26,11,18,7,22
9,24,12,18,6,19
11,21,2,15,8,21
7,15,9,19,15,23
0,3,8,21,17,8
2,3,5,21,20,0
3,3,0,9,3,0
8,0,0,6,0,0
5,0,0,4,0,0
3,0,0,6,0,0
4,0,0,10,0,0
7,5,4,8,1,1
14,29,18,3,0,6
20,35,18,4,0,9
14,24,15,16,0,18
7,20,8,15,11,23
12,30,10,23,1,22
10,28,11,22,0,21
7,22,9,23,0,21
8,29,12,21,0,22
11,24,11,23,4,19
6,22,13,21,0,24
10,21,12,19,5,21
10,15,13,17,14,19
11,26,12,20,6,21
9,24,13,18,5,18
10,15,3,16,7,19
11,17,4,23,14,21
0,8,8,21,12,8
1,2,7,24,23,0
4,4,0,13,5,0
12,0,0,10,0,0
2,0,0,2,0,0
3,0,0,6,0,0
3,0,0,8,0,0
5,8,5,10,1,2
17,27,12,3,0,3
30,33,17,2,0,9
14,28,13,17,1,16
7,23,5,23,2,22
8,21,13,14,9,18
10,13,14,17,18,17
14,23,13,11,6,16
8,21,13,14,13,19
5,14,12,17,14,15
12,16,20,17,14,16
9,21,11,15,6,18
9,20,13,15,12,17
6,29,11,16,8,13
11,17,12,15,5,12
7,12,7,17,13,17
