"dep36l","dep36r","dep01","arr36l","arr36r","arr01"
0,0,6,15,25,0
4,1,8,22,22,0
2,7,0,8,10,0
1,2,0,1,9,0
1,4,0,0,4,0
1,3,0,3,13,0
7,8,8,1,7,1
22,28,12,3,0,4
27,32,25,7,0,8
13,22,11,20,5,18
7,22,10,18,7,22
8,20,12,15,11,22
9,25,8,17,2,26
10,30,12,19,3,21
7,29,11,17,5,24
10,24,11,22,2,22
5,20,10,21,4,22
6,28,11,18,4,18
6,23,5,21,9,22
9,24,17,18,5,15
9,26,11,16,4,17
10,20,5,17,7,18
9,14,3,24,14,21
1,6,14,23,17,9
0,6,12,23,22,0
6,2,0,6,6,0
5,0,0,5,0,0
3,0,0,4,0,0
0,0,0,6,0,0
4,0,0,13,0,0
9,10,7,5,0,4
17,31,15,3,0,3
20,31,25,6,1,9
16,21,14,15,10,16
6,16,8,19,10,19
8,14,8,11,15,22
8,27,14,21,4,23
12,19,11,14,7,20
4,15,14,17,14,14
11,21,13,15,11,21
8,23,19,15,7,16
5,18,12,15,14,14
1,11,4,6,1,7
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
10,19,4,19,8,21
13,11,9,17,14,10
0,0,6,18,26,0
1,11,0,12,16,0
5,3,0,1,2,0
3,0,0,3,1,0
3,0,0,12,0,0
2,0,0,9,0,0
17,0,7,5,0,3
27,0,30,5,0,3
27,22,24,8,0,7
15,19,19,13,6,18
7,18,12,19,11,17
10,19,13,18,13,15
9,16,11,15,14,17
11,20,16,12,10,19
4,23,17,16,6,18
6,14,12,17,8,22
7,20,15,17,4,16
0,0,1,4,2,5
3,11,7,11,7,13
14,31,20,17,2,18
10,26,11,15,3,20
12,16,13,15,13,17
10,7,15,21,19,20
5,0,7,20,20,5
1,0,14,21,21,0
2,7,0,14,18,0
6,0,0,6,0,0
5,0,0,4,0,0
3,0,0,9,0,0
3,0,0,12,0,0
11,5,9,9,0,2
24,30,14,4,0,1
24,30,23,6,0,8
14,16,14,16,11,17
4,20,5,18,8,22
8,23,13,22,9,22
6,10,8,14,5,13
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,1,0,0,0
11,23,7,16,8,21
11,11,4,20,15,21
2,3,12,26,25,8
3,2,12,24,24,0
1,10,0,4,10,0
0,6,0,0,6,0
0,5,0,0,2,0
0,2,0,0,11,0
0,4,0,0,10,0
4,15,6,0,10,2
20,31,15,3,1,2
24,32,19,4,0,6
11,21,15,18,8,13
0,4,2,7,2,9
0,0,0,0,0,0
