"dep36l","dep36r","dep01","arr36l","arr36r","arr01"
1,3,0,0,3,0
0,2,0,2,7,0
0,5,0,2,11,0
10,10,7,1,5,2
23,32,14,4,0,3
26,27,20,5,2,9
14,24,11,18,4,17
6,16,6,15,13,24
9,18,14,17,9,19
10,23,8,20,3,22
13,25,15,17,6,21
4,22,16,18,2,21
10,18,9,13,8,21
4,27,12,24,4,24
9,20,13,17,5,21
10,24,18,17,9,19
8,24,8,15,5,25
11,22,14,17,8,17
11,24,5,16,10,18
10,17,2,20,12,20
1,9,3,24,19,11
0,2,11,28,28,0
2,9,0,5,5,0
2,4,0,1,1,0
0,4,0,0,1,0
0,3,0,2,7,0
0,3,0,0,12,0
10,14,9,2,8,1
15,32,14,6,0,3
26,36,19,6,0,13
11,25,11,17,0,20
5,23,4,23,6,24
8,17,10,19,6,24
13,27,12,20,2,19
14,16,12,13,5,21
0,0,0,1,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
7,19,7,11,0,11
10,30,12,18,2,20
9,22,7,19,10,24
10,15,5,19,13,23
4,7,6,27,17,11
