"","x01","x18l","x18r","x19","x36l","x36r","sum_dep","y01","y18l","y18r","y19","y36l","y36r","sum_arr","sum_per60","dep_prop_01","dep_prop_36l","dep_prop_36r","dep_prop_19","dep_prop_18r","dep_prop_18l","arr_prop_01","arr_prop_36l","arr_prop_36r","arr_prop_19","arr_prop_18r","arr_prop_18l"
"93",13,0,0,0,12,20,45,19,0,0,0,19,9,47,92,0.141304347826087,0.130434782608696,0.217391304347826,0,0,0,0.206521739130435,0.206521739130435,0.0978260869565217,0,0,0
"94",2,0,0,0,10,17,29,18,0,0,0,12,10,40,69,0.0289855072463768,0.144927536231884,0.246376811594203,0,0,0,0.260869565217391,0.173913043478261,0.144927536231884,0,0,0
"95",4,0,0,0,6,10,20,22,0,0,0,20,17,59,79,0.0506329113924051,0.0759493670886076,0.126582278481013,0,0,0,0.278481012658228,0.253164556962025,0.215189873417722,0,0,0
"96",9,0,0,0,3,3,15,11,0,0,0,17,20,48,63,0.142857142857143,0.0476190476190476,0.0476190476190476,0,0,0,0.174603174603175,0.26984126984127,0.317460317460317,0,0,0
"97",2,0,0,0,2,1,5,0,0,0,0,21,25,46,51,0.0392156862745098,0.0392156862745098,0.0196078431372549,0,0,0,0,0.411764705882353,0.490196078431373,0,0,0
"98",0,0,0,0,0,8,8,0,0,0,0,0,10,10,18,0,0,0.444444444444444,0,0,0,0,0,0.555555555555556,0,0,0
"99",0,0,0,0,0,6,6,0,0,0,0,0,3,3,9,0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0
"100",0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0
"101",0,0,0,0,0,2,2,0,0,0,0,0,3,3,5,0,0,0.4,0,0,0,0,0,0.6,0,0,0
"102",0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,1,0,0,0
"103",6,0,0,0,8,8,22,0,0,0,0,0,8,8,30,0.2,0.266666666666667,0.266666666666667,0,0,0,0,0,0.266666666666667,0,0,0
"104",14,0,0,0,20,31,65,1,0,0,0,3,0,4,69,0.202898550724638,0.289855072463768,0.449275362318841,0,0,0,0.0144927536231884,0.0434782608695652,0,0,0,0
"105",16,0,0,0,26,31,73,7,0,0,0,3,0,10,83,0.192771084337349,0.313253012048193,0.373493975903614,0,0,0,0.0843373493975904,0.036144578313253,0,0,0,0
"106",20,0,0,0,14,24,58,11,0,0,0,14,4,29,87,0.229885057471264,0.160919540229885,0.275862068965517,0,0,0,0.126436781609195,0.160919540229885,0.0459770114942529,0,0,0
"107",5,0,0,0,10,12,27,19,0,0,0,22,14,55,82,0.0609756097560976,0.121951219512195,0.146341463414634,0,0,0,0.231707317073171,0.268292682926829,0.170731707317073,0,0,0
"108",16,0,0,0,8,28,52,17,0,0,0,19,5,41,93,0.172043010752688,0.0860215053763441,0.301075268817204,0,0,0,0.182795698924731,0.204301075268817,0.0537634408602151,0,0,0
"109",14,0,0,0,13,18,45,18,0,0,0,18,10,46,91,0.153846153846154,0.142857142857143,0.197802197802198,0,0,0,0.197802197802198,0.197802197802198,0.10989010989011,0,0,0
"110",14,0,0,0,12,17,43,16,0,0,0,12,12,40,83,0.168674698795181,0.144578313253012,0.204819277108434,0,0,0,0.192771084337349,0.144578313253012,0.144578313253012,0,0,0
"111",15,0,0,0,10,24,49,18,0,0,0,14,11,43,92,0.16304347826087,0.108695652173913,0.260869565217391,0,0,0,0.195652173913043,0.152173913043478,0.119565217391304,0,0,0
"112",13,0,0,0,9,11,33,17,0,0,0,19,17,53,86,0.151162790697674,0.104651162790698,0.127906976744186,0,0,0,0.197674418604651,0.22093023255814,0.197674418604651,0,0,0
"113",17,0,0,0,9,23,49,19,0,0,0,20,8,47,96,0.177083333333333,0.09375,0.239583333333333,0,0,0,0.197916666666667,0.208333333333333,0.0833333333333333,0,0,0
"114",17,0,0,0,13,23,53,18,0,0,0,13,9,40,93,0.182795698924731,0.139784946236559,0.247311827956989,0,0,0,0.193548387096774,0.139784946236559,0.0967741935483871,0,0,0
"115",11,0,0,0,12,18,41,19,0,0,0,19,11,49,90,0.122222222222222,0.133333333333333,0.2,0,0,0,0.211111111111111,0.211111111111111,0.122222222222222,0,0,0
"116",7,0,0,0,7,23,37,16,0,0,0,17,12,45,82,0.0853658536585366,0.0853658536585366,0.280487804878049,0,0,0,0.195121951219512,0.207317073170732,0.146341463414634,0,0,0
"117",14,0,0,0,12,23,49,18,0,0,0,15,9,42,91,0.153846153846154,0.131868131868132,0.252747252747253,0,0,0,0.197802197802198,0.164835164835165,0.0989010989010989,0,0,0
